Volatge (V),Frequency,Current
2.74927566,8092892,1793
2.748053764,8093612,1792
2.747809384,8093660,1791
2.746587488,8094116,1790
2.743899316,8093516,1789
2.74243304,8093564,1788
2.74243304,8093228,1787
2.740722385,8094212,1786
2.739989247,8094164,1785
2.738767351,8094140,1785
2.738034213,8094380,1784
2.735346041,8094284,1784
2.734612903,8094308,1782
2.734612903,8094932,1781
2.732657869,8095436,1781
2.732657869,8095580,1780
2.731191594,8095772,1779
2.730702835,8096156,1778
2.729969697,8095748,1778
2.728014663,8096132,1777
2.726059629,8095916,1775
2.725326491,8096084,1775
2.724104595,8095772,1774
2.723371457,8096756,1773
2.722638319,8097092,1772
2.723127077,8096132,1771
2.720683284,8096372,1770
2.719950147,8096084,1770
2.719950147,8096804,1769
2.719950147,8097092,1769
2.717261975,8097140,1768
2.71530694,8097524,1767
2.71530694,8097620,1766
2.71530694,8097428,1766
2.71530694,8099636,1766
2.713840665,8097740,1766
2.713840665,8097308,1765
2.714573803,8097692,1765
2.714573803,8097548,1765
2.714573803,8097260,1765
2.714573803,8097380,1765
2.712618769,8097716,1765
2.712863148,8097524,1764
2.71213001,8097764,1763
2.711396872,8097092,1762
2.710663734,8098076,1762
2.710663734,8098412,1762
2.7087087,8098988,1761
2.707975562,8098604,1760
2.706020528,8098532,1759
2.706020528,8098196,1759
2.70528739,8098940,1759
2.70528739,8098940,1758
2.703332356,8099228,1756
2.702110459,8098964,1755
2.701377322,8099060,1755
2.700644184,8099420,1754
2.700644184,8099468,1753
2.697956012,8099084,1752
2.696000978,8099492,1752
2.697222874,8099828,1751
2.69526784,8099516,1751
2.69526784,8099084,1749
2.693312806,8099132,1749
2.691357771,8099492,1747
2.690624634,8099516,1747
2.691357771,8099756,1746
2.689402737,8100236,1745
2.687203324,8100764,1744
2.685981427,8100572,1743
2.68524829,8100500,1742
2.682804497,8100572,1741
2.683293256,8100356,1740
2.682071359,8100620,1740
2.680605083,8101508,1738
2.680605083,8101796,1737
2.679871945,8101292,1736
2.677183773,8101652,1736
2.674739981,8102108,1735
2.675228739,8101916,1733
2.673273705,8101988,1732
2.671318671,8102636,1732
2.671318671,8102492,1731
2.670585533,8103116,1730
2.669852395,8103476,1729
2.667897361,8103740,1729
2.665942326,8103476,1729
2.665942326,8103260,1729
2.665942326,8104148,1728
2.663987292,8104004,1727
2.663987293,8104316,1725
2.662032258,8104244,1725
2.662032258,8104100,1724
2.660565982,8104148,1723
2.658610948,8104196,1722
2.658610948,8104604,1721
2.657877811,8104676,1721
2.655922776,8104508,1720
2.654212121,8104244,1718
2.653234605,8104076,1717
2.653234605,8104028,1717
2.65127957,8104028,1716
2.65127957,8105036,1715
2.65127957,8104604,1715
2.649324536,8104196,1714
2.648591398,8104316,1714
2.646636364,8105444,1713
2.645903226,8105732,1712
2.645903226,8105804,1711
2.643948192,8106140,1710
2.641993157,8106740,1710
2.642726295,8106308,1708
2.640526882,8106500,1707
