Volatge (V),Frequency (Hz),current (uA)
1.993607038,1019180,219.01
1.993607038,1019180,218.89
1.993607038,1019180,218.82
1.990674487,1019228,218.65
1.989208211,1019252,218.46
1.987741935,1019300,218.23
1.987741935,1019324,218
1.984809384,1019324,217.83
1.983343109,1019396,217.59
1.980410558,1019516,217.35
1.978944282,1019588,217.15
1.978944282,1019492,216.99
1.97601173,1019660,216.71
1.974545455,1019612,216.44
1.973079179,1019612,216.2
1.971612904,1019564,216.01
1.967214076,1019588,215.8
1.967214076,1019708,215.64
1.965747801,1019780,215.39
1.961348974,1019900,215.08
1.961348974,1019804,214.91
1.959882698,1019852,214.64
1.956950147,1019756,214.3
1.955483871,1019804,214.12
1.95255132,1019900,213.96
1.949618768,1019948,213.71
1.949618768,1019900,213.54
1.948152493,1019972,213.31
1.946686217,1019924,213.01
1.943753666,1020044,212.63
1.940821114,1020044,212.8
1.943753666,1020068,207.31
1.940821114,1020068,207.15
1.937888563,1020164,206.85
1.936422288,1020188,206.64
1.933489736,1020212,206.29
1.930557185,1020308,205.98
1.927624634,1020236,205.77
1.929090909,1020284,205.56
1.927624634,1020380,205.37
1.924692082,1020380,205.2
1.921759531,1020404,205.03
1.921759531,1020452,204.95
1.920293255,1020428,204.9
1.920293255,1020452,204.75
1.920293255,1020524,204.48
1.917360704,1020548,204.39
1.917360704,1020572,204.25
1.914428152,1020644,203.95
1.912961877,1020644,203.84
1.911495601,1020644,203.7
1.910029326,1020692,203.53
1.90856305,1020716,203.49
1.90856305,1020644,203.39
1.90856305,1020692,203.13
1.904164223,1020788,202.9
1.904164223,1020740,202.78
1.902697947,1020788,202.59
1.901231672,1020860,202.4
1.899765396,1020932,202.25
1.898299121,1020908,202.06
1.895366569,1020884,201.8
1.892434018,1021052,201.58
1.893900293,1020932,201.5
1.890967742,1021004,201.4
1.890967742,1020980,201.25
